accession	n_anchors	n_same_strand	layout	anchor_span_bp	max_internal_gap_bp	order_canonical
NZ_KJ958926.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_KM052220.1	16	16	contiguous	28362	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KM085449.1	16	16	contiguous	40088	17011	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KM085450.1	16	16	contiguous	37342	14206	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KM377238.1	16	16	contiguous	28603	5002	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KM377239.1	16	16	contiguous	28603	4785	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KM377240.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KM406488.1	13	11	split_2	49169	29435	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KM406489.1	13	11	split_2	52374	32727	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KM406490.1	12	11	contiguous	25152	6737	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KM406491.1	13	11	contiguous	26033	7980	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KM409652.1	16	16	contiguous	35219	9087	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KM877517.1	13	11	split_2	51647	33718	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KP025948.1	13	11	split_2	64166	46189	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KP061858.1	13	11	contiguous	26036	7981	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KP198616.1	16	16	contiguous	28616	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KP294351.1	13	11	split_2	66874	48900	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KP659188.1	13	11	split_2	54033	35798	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KP975075.1	13	11	split_2	54133	29428	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KP987215.1	15	15	contiguous	25885	4939	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_KP987217.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KR822246.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_KR905384.1	16	16	contiguous	35169	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KR905385.1	16	16	contiguous	35160	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KR905386.1	16	16	contiguous	35151	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KR905387.1	16	16	contiguous	35151	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KR905388.1	16	16	contiguous	35151	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KR905389.1	16	16	contiguous	35169	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KR905390.1	16	16	contiguous	35142	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KT282968.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KT754162.1	16	16	split_2	110381	80524	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KT754167.1	16	16	contiguous	30557	8286	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KT779035.1	7	5	split_2	116134	81092	traM traN traU traW traY
NZ_KT779550.1	16	16	contiguous	28360	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KT852335.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_KT852336.1	13	13	contiguous	20750	3641	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_KT868530.1	16	16	contiguous	33306	6876	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KT935445.1	13	11	split_2	65920	47943	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KU130396.1	16	16	contiguous	29857	6662	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU159085.1	13	11	contiguous	26586	7011	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KU159086.1	13	11	split_2	56737	37231	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KU312044.1	16	16	contiguous	34854	7561	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU315015.1	13	11	split_2	87890	70006	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KU355874.1	16	16	contiguous	29809	5412	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU744946.1	7	5	split_2	184135	151589	traM traN traU traW traY
NZ_KU932021.1	16	16	contiguous	31904	9659	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU932026.1	16	16	split_2	87159	59240	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU932027.1	16	16	split_2	86977	59058	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU932029.1	16	16	contiguous	28362	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU932030.1	16	16	contiguous	28362	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU932032.1	16	16	split_2	89540	65721	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU932033.1	16	16	split_2	90595	66776	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KU950310.1	13	8	contiguous	52529	18271	traM traN traO traP traQ traU traW traY
NZ_KX009059.1	13	8	contiguous	46479	14850	traM traN traO traP traQ traU traW traY
NZ_KX009507.1	13	11	split_3	86771	36773	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KX058576.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KX246268.1	16	16	contiguous	30039	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KX452392.1	16	16	contiguous	30989	6439	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KX523900.1	13	11	split_2	62605	37530	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KX523901.1	13	11	split_2	64527	39452	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KX523902.1	13	11	split_2	65098	40023	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KX524525.1	11	9	contiguous	20405	7981	traL traM traN traO traP traQ traU traW traY
NZ_KX636096.1	13	11	contiguous	26036	7981	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KX783441.1	13	11	split_2	65646	39822	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KX893538.1	13	8	split_2	59431	27015	traM traN traO traP traQ traU traW traY
NZ_KY126370.1	14	14	contiguous	21844	3925	traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_KY213890.1	13	11	split_2	48669	30704	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KY215945.1	12	11	contiguous	24932	7981	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KY270855.1	12	7	contiguous	48348	13292	traM traN traO traQ traU traW traY
NZ_KY362366.1	13	13	contiguous	24534	4987	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_KY471628.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY471629.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY565558.1	16	16	split_2	88156	65007	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY689635.1	16	16	split_2	86860	63710	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY748188.1	16	16	contiguous	29756	4937	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY748189.1	16	16	contiguous	28418	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY748190.1	16	16	contiguous	28418	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY781949.1	13	11	split_2	62412	45125	traI traK traL traM traN traO traP traQ traU traW traY
NZ_KY865323.1	16	16	contiguous	28418	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_KY964068.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LC019731.1	16	16	contiguous	33886	10691	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LC480203.1	16	16	contiguous	28617	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LC485173.1	16	16	contiguous	28882	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LC505604.1	13	11	split_2	52692	34808	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC508263.1	13	11	split_2	52692	34808	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC508722.1	13	11	split_2	52692	34808	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC536683.1	13	13	split_2	63123	44567	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LC537131.1	13	11	split_2	49165	31188	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556214.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556215.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556216.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556217.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556218.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556219.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556220.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556221.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LC556222.1	13	11	split_2	55887	36245	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LN681230.1	13	13	contiguous	21565	4525	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LN735558.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LN735559.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LN735560.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LN735561.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LN824135.1	12	12	split_2	113391	97005	traI traK traL traM traN traO traP traQ traU traW traY trbB
NZ_LN864819.1	13	11	split_2	62069	36994	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LN864820.1	11	9	split_2	48190	28746	traL traM traN traO traP traQ traU traW traY
NZ_LN864821.1	13	11	split_2	62473	37533	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LN890525.1	16	16	contiguous	30038	5637	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR025091.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR025095.1	13	11	split_2	55611	37556	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR025098.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR025100.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR025105.1	13	11	split_2	55608	37553	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR536452.1	9	7	contiguous	22073	6083	traI traK trbA traM traN traO traU
NZ_LR594664.1	9	6	split_3	378415	315480	traM traN traO traU trbA traY
NZ_LR594691.1	9	6	split_3	487797	420556	traM traN traO traU trbA traY
NZ_LR721753.1	4	4	contiguous	12258	6914	traI traM traN traU
NZ_LR745044.1	13	11	split_2	60800	35815	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR882058.1	16	16	contiguous	31312	6914	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR882999.1	16	16	contiguous	33002	8366	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR883001.1	16	16	contiguous	30578	6173	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR883004.1	16	16	contiguous	34121	8367	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR890182.1	15	15	contiguous	25888	4939	traE traI traK traL traM traN traO traP traQ traU traV traW traY trbA trbB
NZ_LR890259.1	13	11	split_2	57518	39463	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR890272.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR890274.1	16	16	contiguous	32867	8349	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR890302.1	13	11	split_2	57518	39463	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR890431.1	13	11	split_2	57518	39463	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR890505.1	13	11	split_2	57518	39463	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR890609.1	16	16	contiguous	32903	8385	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR890653.1	16	16	contiguous	31394	6993	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR890707.1	13	11	split_2	57518	39463	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LR898869.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR999862.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR999864.1	16	16	contiguous	35205	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR999866.1	16	16	contiguous	35142	8113	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR999868.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LR999869.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LS992187.1	16	16	split_2	85768	60029	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LS999562.1	16	16	contiguous	42802	18402	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT222313.1	11	11	split_2	96203	79320	traK traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT222316.1	13	13	contiguous	23951	4864	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT605060.1	7	5	contiguous	48546	15994	traM traN traU traW traY
NZ_LT795504.1	15	15	contiguous	26349	5551	traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT838199.1	16	16	contiguous	28309	5115	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT838202.1	13	11	contiguous	25946	7981	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LT838204.1	16	16	contiguous	28309	5115	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT900339.1	9	7	contiguous	31918	15722	traI trbA traK traM traN traO traU
NZ_LT963394.1	13	13	split_2	109942	86553	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT963396.1	13	8	contiguous	50951	17367	traM traN traO traP traQ traU traW traY
NZ_LT963398.1	12	12	contiguous	22834	4864	traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT963404.1	12	12	contiguous	26658	10366	traI traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT963411.1	13	13	contiguous	24260	5100	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT963412.1	9	9	contiguous	14860	4195	traN traO traP traQ traU traW traY trbA trbB
NZ_LT985195.1	13	13	split_2	79328	58314	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT985212.1	13	13	contiguous	25509	4864	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT985231.1	16	16	contiguous	28866	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985235.1	16	16	contiguous	31278	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985236.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985238.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985241.1	13	13	split_2	55012	36771	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT985248.1	16	16	contiguous	29995	5596	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985256.1	16	16	contiguous	30006	5599	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985264.1	13	11	contiguous	25804	7965	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LT985268.1	16	16	contiguous	28606	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985270.1	16	16	contiguous	38594	11011	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985273.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985278.1	16	16	contiguous	35645	9233	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985279.1	13	11	contiguous	25852	7965	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LT985280.1	16	16	contiguous	28604	4786	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985281.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985283.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985286.1	16	16	contiguous	30427	5424	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985288.1	16	16	contiguous	28608	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985295.1	16	16	contiguous	29811	5413	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985300.1	16	16	contiguous	32184	8776	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985320.1	16	16	contiguous	39834	14996	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985321.1	16	16	contiguous	43261	18860	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_LT985387.1	12	12	split_2	54908	38709	traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_LT994833.1	13	11	contiguous	25716	7967	traI traK traL traM traN traO traP traQ traU traW traY
NZ_LT994838.1	13	11	contiguous	25941	7967	traI traK traL traM traN traO traP traQ traU traW traY
NZ_MF078004.1	16	16	contiguous	29805	6610	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MF133496.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MF152729.1	16	16	contiguous	28805	4776	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MF156266.1	13	11	split_2	56793	38774	traI traK traL traM traN traO traP traQ traU traW traY
NZ_MF156268.1	16	16	contiguous	31803	8394	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MF190368.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MF344575.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MF344576.1	16	16	contiguous	30864	7449	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MF344577.1	16	16	contiguous	29292	4891	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MF399199.1	7	5	split_2	191479	158076	traM traN traU traW traY
NZ_MG196294.1	16	16	contiguous	31348	7260	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG271839.1	16	16	contiguous	31349	7260	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG288684.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MG299128.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299130.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299131.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299133.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299135.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299137.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299139.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299141.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299143.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299145.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299147.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299149.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299151.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG299153.1	16	16	contiguous	35947	8660	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG516907.1	13	11	split_2	51771	33842	traI traK traL traM traN traO traP traQ traU traW traY
NZ_MG516908.1	16	16	contiguous	28418	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG545909.1	16	16	contiguous	31349	7260	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG545910.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG569891.1	16	16	contiguous	28361	5167	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG601057.1	16	16	contiguous	31349	7260	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG764547.1	16	16	contiguous	28616	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG825371.1	16	16	contiguous	32077	7747	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG825375.1	16	16	contiguous	31348	7259	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG825376.1	16	16	contiguous	30195	5794	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG825377.1	14	14	contiguous	29635	5558	traE traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MG838206.1	16	16	contiguous	31349	7260	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG844436.1	16	16	contiguous	28607	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG904995.1	16	16	split_2	94221	68814	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG948330.1	16	16	contiguous	30034	5636	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG948331.1	16	16	contiguous	30036	5637	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG948332.1	16	16	contiguous	30038	5638	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG948333.1	16	16	contiguous	28682	4788	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MG948334.1	16	16	contiguous	28599	4785	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH061177.1	13	8	split_2	64859	32349	traM traN traO traP traQ traU traW traY
NZ_MH220285.1	7	5	split_2	56699	24923	traM traN traU traW traY
NZ_MH220286.1	7	5	split_2	56699	24923	traM traN traU traW traY
NZ_MH220287.1	7	5	split_2	56699	24923	traM traN traU traW traY
NZ_MH257955.1	16	16	split_2	80940	55993	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH287044.1	16	16	contiguous	32218	8803	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH341574.1	13	13	contiguous	21115	4121	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MH422553.1	16	16	contiguous	28606	4787	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH430883.1	16	16	contiguous	28305	5110	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH472638.1	16	16	contiguous	30841	6440	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH579767.1	16	16	contiguous	30040	5639	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH618673.1	16	16	contiguous	32206	8812	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH643790.1	13	13	contiguous	20842	3731	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MH643791.1	13	13	contiguous	21043	4121	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MH674341.1	16	16	contiguous	30100	5702	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH722216.1	13	11	split_2	52392	34193	traI traK traL traM traN traO traP traQ traU traW traY
NZ_MH722217.1	13	11	split_2	52296	34097	traI traK traL traM traN traO traP traQ traU traW traY
NZ_MH722218.1	13	11	split_2	52296	34097	traI traK traL traM traN traO traP traQ traU traW traY
NZ_MH722219.1	13	13	split_2	63901	45345	traI traK traL traM traN traO traP traQ traU traW traY trbA trbB
NZ_MH847038.1	16	16	contiguous	28603	4786	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
NZ_MH847571.1	16	16	split_2	103288	78890	traE traI traK traL traM traN traO traP traQ traT traU traV traW traY trbA trbB
