accession	slot_family	slot_status	gap_up	gap_down	anchor_gap_median	n_anchor_gaps
NZ_KU963389.1	Eex_IncN	eex_occupied	11	9	10	7
NZ_KX009060.1		candidate	29	-8	2	8
NZ_KX009061.1		candidate	29	-8	2	8
NZ_KX009062.1		candidate	29	-8	2	8
NZ_KX009063.1		candidate	29	-8	2	8
NZ_KX009064.1	Eex_IncN	eex_occupied	1	14	2	5
NZ_KX013538.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KX013539.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KX013540.1	Eex_IncN	eex_occupied	163	1	5	4
NZ_KX023261.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX032519.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KX032520.1		candidate	-4	11	11	8
NZ_KX034083.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_KX084392.1		candidate	11	-4	11	8
NZ_KX084393.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KX094555.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX118105.1		candidate	1	2	27	5
NZ_KX129783.1		candidate	-4	11	11	8
NZ_KX214669.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX214670.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX214671.1	Eex_IncN	eex_occupied	11	9	2	7
NZ_KX236309.1		candidate	-4	11	11	8
NZ_KX254342.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KX254343.1		candidate	11	-4	11	8
NZ_KX268305.1		candidate	-4	10	10	5
NZ_KX348144.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX377410.1		candidate	190	10	12	7
NZ_KX447767.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX447768.1		candidate	-4	11	11	8
NZ_KX470734.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX470735.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX505142.1	Eex_IncN	eex_occupied	107	-1	5	4
NZ_KX507346.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX523903.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX555451.1		candidate	-4	11	11	8
NZ_KX555452.1		candidate	-4	11	11	8
NZ_KX570748.1		candidate	117	-4	13	8
NZ_KX580713.1		candidate	190	10	12	7
NZ_KX580716.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KX592672.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KX618696.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618697.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618698.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618699.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618700.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618701.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618702.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618703.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX618704.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_KX674681.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX683284.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX686749.1		candidate	-4	-11	0	6
NZ_KX711706.1		candidate	-4	11	11	8
NZ_KX711707.1		candidate	-4	11	11	8
NZ_KX711708.1		candidate	-4	11	11	8
NZ_KX711879.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_KX711880.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_KX753679.1	Eex_IncN	eex_occupied	21	11	10	7
NZ_KX772777.1		candidate	-4	11	11	8
NZ_KX772778.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KX784502.1	Eex_IncN	eex_occupied	16	9	15	6
NZ_KX784503.1	Eex_IncN	eex_occupied	16	9	15	6
NZ_KX815983.1	Eex_IncN	eex_occupied	9	0	18	6
NZ_KX827311.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_KX832926.1	Eex_IncN	eex_occupied	7	-1	8	7
NZ_KX832928.1		candidate	18	-4	10	7
NZ_KX833071.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX833212.1	Eex_IncN	eex_occupied	0	8	4	8
NZ_KX856067.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KX856068.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KX881941.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_KX894452.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX894453.1		candidate	11	-4	11	8
NZ_KX928750.1	Eex_IncN	eex_occupied	15	7	10	5
NZ_KX928751.1	Eex_IncN	eex_occupied	15	7	41	4
NZ_KX960109.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KX960110.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_KY000044.1		candidate	637	-4	-1	2
NZ_KY000075.1		candidate	-7	-4	-1	2
NZ_KY012274.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_KY012275.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_KY012276.1		candidate	11	-4	11	8
NZ_KY041843.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY051550.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_KY070307.1	Eex_IncN	eex_occupied	-4	39	11	8
NZ_KY075650.1	Eex_IncN	eex_occupied	12	1	5	3
NZ_KY075651.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY075652.1		candidate	-4	11	11	6
NZ_KY075653.1		candidate	473	11	11	9
NZ_KY075654.1	Eex_IncN	eex_occupied	221	153	5	2
NZ_KY075655.1		candidate	-4	11	11	7
NZ_KY075656.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY075657.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY075658.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY075660.1		candidate	-4	11	11	8
NZ_KY075661.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KY075662.1	Eex_IncN	eex_occupied	12	1	5	5
NZ_KY120363.1		candidate	-4	11	11	8
NZ_KY120364.1		candidate	11	-4	11	8
NZ_KY120365.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_KY120366.1	Eex_IncN	eex_occupied	1	12	5	4
NZ_KY128483.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_KY128484.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_KY174331.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_KY216144.1		candidate	11	163	11	9
NZ_KY271413.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_KY271414.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_KY271415.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_KY296095.1		candidate	9	2	9	6
NZ_KY296103.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY320277.1		candidate	-4	12	-4	7
NZ_KY352406.1		candidate	190	10	12	7
NZ_KY362367.1		candidate	31	10	-4	5
NZ_KY362368.1		candidate	15	26	-4	5
NZ_KY362369.1		candidate	15	26	-4	5
NZ_KY362370.1		candidate	143	10	-4	5
NZ_KY362371.1		candidate	143	10	-4	5
NZ_KY362372.1		candidate	15	26	-4	5
NZ_KY362373.1		candidate	28	10	-4	5
NZ_KY363994.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY363995.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY363996.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY363997.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY363998.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY363999.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY435936.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY463451.1		candidate	11	-4	11	8
NZ_KY463452.1		candidate	10	190	12	7
NZ_KY463454.1		candidate	11	-4	11	8
NZ_KY471144.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471145.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471146.1		candidate	-4	11	11	8
NZ_KY471307.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_KY471308.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471309.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471310.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471311.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471312.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471313.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY471314.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_KY471315.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KY494864.1		candidate	12	-4	2	6
NZ_KY498540.1		candidate	-4	10	10	5
NZ_KY499796.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY499797.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY565556.1		candidate	11	-4	11	8
NZ_KY565557.1	Eex_IncN	eex_occupied	1	163	5	5
NZ_KY582848.1		candidate	11	-4	11	8
NZ_KY624633.1	Eex_IncN	eex_occupied	77	3	5	4
NZ_KY652381.1		candidate	11	-4	11	8
NZ_KY657476.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KY657477.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY657478.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_KY659387.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY659388.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY689634.1		candidate	11	-4	11	8
NZ_KY693674.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KY770023.1		candidate	11	-4	11	8
NZ_KY770024.1		candidate	11	-4	11	8
NZ_KY770025.1		candidate	11	-4	11	8
NZ_KY784668.1	Eex_IncN	eex_occupied	1	12	5	4
NZ_KY792081.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_KY795977.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY795978.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KY802014.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_KY829117.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_KY848295.1	Eex_IncN	eex_occupied	17	11	9	6
NZ_KY853650.1	Eex_IncN	eex_occupied	222	8	5	5
NZ_KY865319.1		candidate	-4	10	10	7
NZ_KY913899.1	Eex_IncN	eex_occupied	9	11	9	6
NZ_KY913900.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_KY930325.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY964067.1		candidate	11	-4	11	8
NZ_KY978629.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_KY978631.1		candidate	30	97	-4	6
NZ_LC155909.1	Eex_IncN	eex_occupied	15	8	-1	7
NZ_LC218099.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_LC227558.1		candidate	11	-4	11	8
NZ_LC341397.1		candidate	-4	11	11	8
NZ_LC469775.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_LC473131.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_LC477138.1		candidate	-4	11	11	8
NZ_LC477293.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_LC477294.1		candidate	-4	11	11	8
NZ_LC479085.1		candidate	-4	11	11	8
NZ_LC479086.1		candidate	-4	11	11	8
NZ_LC479452.1		candidate	-4	11	11	8
NZ_LC483156.1		candidate	62	199	10	7
NZ_LC483179.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_LC511660.1		candidate	-4	11	11	7
NZ_LC511661.1		candidate	-4	11	11	8
NZ_LC511662.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_LC532225.1	TrbK_RP4	eex_occupied	12	-47	12	6
NZ_LC532227.1	TrbK_RP4	eex_occupied	12	-47	12	6
NZ_LC536680.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_LC537594.1		candidate	62	199	10	7
NZ_LC542923.1		candidate	3	0	-1	5
NZ_LC542974.1		candidate	3	0	-1	5
NZ_LC545851.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_LC549805.1		candidate	10	190	12	7
NZ_LC586262.1		candidate	-8	27	2	8
NZ_LC586263.1		candidate	27	-8	2	8
NZ_LC586264.1		candidate	27	-8	2	8
NZ_LC586265.1		candidate	27	-8	2	8
NZ_LC586266.1		candidate	-8	27	2	8
NZ_LC586267.2		candidate	-8	26	8	6
NZ_LC586268.1		candidate	27	-8	2	8
NZ_LC590858.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LC594662.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LN606601.1	Eex_IncN	eex_occupied	134	11	3	7
NZ_LN610760.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LN623683.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_LN811400.1		candidate	367	58	19	7
NZ_LN824136.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_LR025103.1		candidate	10	-4	11	8
NZ_LR025104.1	Eex_IncN	eex_occupied	0	9	4	7
NZ_LR130550.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_LR213454.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_LR594661.1	Eex_IncN	eex_occupied	11	113	9	8
NZ_LR594663.1		candidate	18	16	-4	6
NZ_LR594665.1	TrbK_RP4	eex_occupied	10	10	11	6
NZ_LR594668.1		candidate	7	226	17	6
NZ_LR594670.1	TrbK_RP4	eex_occupied	10	10	11	6
NZ_LR594674.1	TrbK_RP4	eex_occupied	10	10	11	6
NZ_LR594677.1	Eex_IncN	eex_occupied	113	11	9	8
NZ_LR594692.1		candidate	19	16	-4	8
NZ_LR595693.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_LR723671.1		candidate	-7	11	10	6
NZ_LR723673.1		candidate	-7	-4	9	6
NZ_LR745047.1	Eex_IncN	eex_occupied	7	15	17	4
NZ_LR828255.1		candidate	367	58	18	7
NZ_LR828259.1		candidate	367	58	18	7
NZ_LR828262.1	Eex_IncN	eex_occupied	40	4	10	6
NZ_LR828263.1		candidate	-4	217	19	7
NZ_LR861804.1	Eex_IncN	eex_occupied	40	4	1	7
NZ_LR882051.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_LR882056.1	Eex_IncN	eex_occupied	14	11	4	8
NZ_LR882060.1	Eex_IncN	eex_occupied	8	0	4	8
NZ_LR882495.1	Eex_IncN	eex_occupied	12	1	5	5
NZ_LR890295.1	Eex_IncN	eex_occupied	46	3	5	5
NZ_LR890303.1		candidate		10	11	8
NZ_LR890325.1	Eex_IncN	eex_occupied	11	17	10	5
NZ_LR890351.1	Eex_IncN	eex_occupied	16	9	15	6
NZ_LR890355.1	Eex_IncN	eex_occupied	9	16	15	6
NZ_LR890448.1	Eex_IncN	eex_occupied	8	15	-1	7
NZ_LR890713.1	Eex_IncN	eex_occupied	15	8	-1	7
NZ_LR890716.1		candidate	3	0	-1	3
NZ_LR999863.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_LR999865.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_LR999867.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_LS974446.1		candidate	233	33	-1	10
NZ_LS992170.1		candidate	11	-4	11	7
NZ_LS992177.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LS992189.1	Eex_IncN	eex_occupied	3	46	5	4
NZ_LS998787.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LS999563.1	Eex_IncN	eex_occupied	14	11	4	8
NZ_LS999564.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_LT221037.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LT221038.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LT222315.1		candidate	10	32	-4	4
NZ_LT591899.1		candidate	-8	213	12	5
NZ_LT591902.1		candidate	-14	234	12	7
NZ_LT591906.1		candidate	-14	234	12	7
NZ_LT591912.1		candidate	-8	213	12	5
NZ_LT592148.1		candidate	-14	234	12	7
NZ_LT592164.1		candidate	-14	234	12	7
NZ_LT599826.1	TraS	eex_occupied	15	7	17	6
NZ_LT599827.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LT795506.1	Eex_IncN	eex_occupied	132	1	5	5
NZ_LT795507.1		candidate	-4	10	10	7
NZ_LT795508.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_LT827129.1	Eex_IncN	eex_occupied	11	9	5	8
NZ_LT838197.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LT838201.1		candidate	11	-4	11	8
NZ_LT853883.1	Eex_IncN	eex_occupied	11	14	13	7
NZ_LT853886.1	Eex_IncN	eex_occupied	11	14	-1	8
NZ_LT882487.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_LT960615.1		candidate	-17	-4	6	6
NZ_LT963393.1		candidate	26	14	-4	4
NZ_LT963397.1		candidate	10	32	-4	3
NZ_LT963405.1		candidate	10	32	-4	5
NZ_LT985190.1		candidate	14	26	-4	5
NZ_LT985193.1		candidate	10	143	-4	4
NZ_LT985211.1		candidate	74	-4	9	2
NZ_LT985223.1	Eex_IncN	eex_occupied	16	9	15	6
NZ_LT985234.1	Eex_IncN	eex_occupied	17	11	9	6
NZ_LT985239.1	Eex_IncN	eex_occupied	11	10	-1	6
NZ_LT985242.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_LT985245.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_LT985251.1	Eex_IncN	eex_occupied	15	7	41	7
NZ_LT985259.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_LT985261.1	Eex_IncN	eex_occupied	11	14	2	7
NZ_LT985262.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_LT985266.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_LT985287.1	Eex_IncN	eex_occupied	3	18	2	6
NZ_LT985310.1		candidate	93	65	1	6
NZ_LT985315.1	Eex_IncN	eex_occupied	9	0	4	8
NZ_LT985317.1	Eex_IncN	eex_occupied	11	9	17	8
NZ_LT985318.1		candidate	-4	10	11	8
NZ_MF062700.1	Eex_IncN	eex_occupied	11	9	7	8
NZ_MF069152.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MF072961.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF072962.1	Eex_IncN	eex_occupied	7	15	17	6
NZ_MF072963.1	Eex_IncN	eex_occupied	13	7	1	7
NZ_MF078634.1		candidate	1	2	27	5
NZ_MF093645.1		candidate	11	-4	11	8
NZ_MF136778.1		candidate	10	190	12	7
NZ_MF136779.1		candidate	11	-4	11	8
NZ_MF150117.1	Eex_IncN	eex_occupied	7	-1	8	7
NZ_MF150120.1	Eex_IncN	eex_occupied	9	11	10	7
NZ_MF156709.1	Eex_IncN	eex_occupied	39	-4	11	8
NZ_MF156710.1	Eex_IncN	eex_occupied	39	-4	11	7
NZ_MF156711.1	Eex_IncN	eex_occupied	39	-4	11	8
NZ_MF156712.1	Eex_IncN	eex_occupied	39	-4	11	8
NZ_MF175184.1		candidate	-4	11	11	8
NZ_MF175185.1		candidate	-4	11	11	8
NZ_MF175186.1		candidate	-4	11	11	8
NZ_MF175187.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MF175188.1	Eex_IncN	eex_occupied	218	8	5	4
NZ_MF175189.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_MF175190.1		candidate	-4	11	11	8
NZ_MF175191.1		candidate	-4	11	11	8
NZ_MF344555.1	Eex_IncN	eex_occupied	11	9	7	8
NZ_MF344556.1	Eex_IncN	eex_occupied	11	9	7	7
NZ_MF344557.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_MF344558.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MF344560.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MF381175.1		candidate	-4	11	11	8
NZ_MF381176.1		candidate	-4	11	11	8
NZ_MF415608.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF428416.1	Eex_IncN	eex_occupied	8	0	4	8
NZ_MF449287.1		candidate	11	-4	11	8
NZ_MF458176.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF489760.1		candidate	190	10	12	7
NZ_MF495477.1	Eex_IncN	eex_occupied	11	103	4	6
NZ_MF497781.1	Eex_IncN	eex_occupied	18	3	9	3
NZ_MF521836.2	Eex_IncN	eex_occupied	8	222	5	4
NZ_MF547507.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF547508.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF547509.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF547510.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF547511.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MF678351.1		candidate	10	190	12	7
NZ_MF679143.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MF679147.1	TraS	eex_occupied	9	11	9	6
NZ_MF693349.1	Eex_IncN	eex_occupied	8	254	5	4
NZ_MF774182.1		candidate	-4	11	11	8
NZ_MF774184.1		candidate	-4	11	11	8
NZ_MF774188.1		candidate	-4	11	11	8
NZ_MF953243.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_MF978387.1		candidate	-4	11	11	8
NZ_MF978388.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_MF978389.1		candidate	10	190	12	7
NZ_MF990207.1		candidate	10	190	12	7
NZ_MF993441.1	Eex_IncN	eex_occupied	18	3	2	6
NZ_MG210937.1		candidate	-4	11	11	8
NZ_MG210938.1	Eex_IncN	eex_occupied	107	-1	5	4
NZ_MG210939.1		candidate	-4	11	11	8
NZ_MG210940.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG228426.1	Eex_IncN	eex_occupied	11	9	110	3
NZ_MG252891.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG252892.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG252893.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG257881.1		candidate	-4	11	11	8
NZ_MG267386.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG288677.1	Eex_IncN	eex_occupied	7	15	17	7
NZ_MG299127.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299129.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299132.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299134.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299136.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299138.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299140.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299142.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299144.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299146.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299148.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299150.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG299152.1	Eex_IncN	eex_occupied	254	8	5	4
NZ_MG456577.1	Eex_IncN	eex_occupied	11	9	-4	7
NZ_MG489944.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG515249.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG516910.1	Eex_IncN	eex_occupied	9	11	7	8
NZ_MG545911.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG552133.1		candidate	190	10	12	7
NZ_MG557851.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG557852.1		candidate	-4	11	11	8
NZ_MG557853.1		candidate	-4	11	11	8
NZ_MG557854.1		candidate	11	-4	11	8
NZ_MG557999.1	Eex_IncN	eex_occupied	18	3	9	3
NZ_MG570092.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG591703.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG594798.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG594799.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG594800.1		candidate	99	16	-4	3
NZ_MG598814.1		candidate	-11	99	5	4
NZ_MG598815.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG598816.1		candidate	-11	99	-4	3
NZ_MG702491.1	Eex_IncN	eex_occupied	11	9	9	6
NZ_MG725031.1	Eex_IncN	eex_occupied	107	-1	5	4
NZ_MG747472.1	Eex_IncN	eex_occupied	8	222	5	4
NZ_MG747473.1		candidate	11	-4	11	8
NZ_MG764553.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_MG773378.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_MG808035.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_MG825367.1		candidate	11	-4	11	8
NZ_MG825368.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MG825369.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MG825374.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_MG825380.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_MG825382.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MG825384.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MG833402.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG833403.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG833404.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG833405.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG833406.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG870194.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_MG874043.1	Eex_IncN	eex_occupied	17	11	9	6
NZ_MG874044.1	Eex_IncN	eex_occupied	11	17	9	6
NZ_MG878866.1		candidate	7	15	17	6
NZ_MG886286.1	Eex_IncN	eex_occupied	15	7	17	6
NZ_MG893567.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MG904997.1	Eex_IncN	eex_occupied	15	7	17	7
NZ_MG946761.1	Eex_IncN	eex_occupied	107	-1	5	4
NZ_MH043623.1		candidate	190	10	57	6
NZ_MH043624.1		candidate	22	-38	13	8
NZ_MH043625.1		candidate	190	10	12	7
NZ_MH043626.1		candidate	190	10	12	7
NZ_MH053445.1	TrbK_RP4	eex_occupied	10	9	16	6
NZ_MH061178.1		candidate	-8	27	2	8
NZ_MH061196.1		candidate	-4	11	11	8
NZ_MH061381.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH061383.1		candidate	15	7	17	7
NZ_MH094148.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MH105050.1	Eex_IncN	eex_occupied	9	11	24	6
NZ_MH105052.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH107030.1	Eex_IncN	eex_occupied	9	11	5	7
NZ_MH121702.1	Eex_IncN	eex_occupied	8	0	4	8
NZ_MH121703.1	Eex_IncN	eex_occupied	11	9	5	8
NZ_MH143074.1	Eex_IncN	eex_occupied	11	9	9	7
NZ_MH143576.1		candidate	11	-4	11	8
NZ_MH161191.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH176237.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_MH202956.1	Eex_IncN	eex_occupied	222	8	5	4
NZ_MH213346.1	Eex_IncN	eex_occupied	12	1	5	4
NZ_MH229869.1	Eex_IncN	eex_occupied	9	11	5	8
NZ_MH234497.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234498.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234499.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234500.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234501.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234502.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234503.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234504.1	Eex_IncN	eex_occupied	11	9	5	7
NZ_MH234505.1	Eex_IncN	eex_occupied	11	9	5	7
