accession	mpf_class_call	entry_criterion	n_cds	n_fa_fata_profiles	n_FA	n_FATA	fa_subclass	profile_support	FA_profiles	FATA_profiles	virb4	tcpA	t4cp1	t4cp2	MOBB	MOBC	MOBF	MOBH	MOBP1	MOBP2	MOBP3	MOBQ	MOBT	MOBV	virb4_bit	relaxase_profiles	exclusion_family_hit	slot_status
NZ_CP124926.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	78	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	22:26052..28607:+	none	18:21012..23543:+	18:21012..23543:+	none	none	none	none	32:34303..36363:+	32:34303..36363:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP124932.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	83	8	0	8	FATA	high		FATA_cd419a;FATA_prgB;FATA_prgC;FATA_prgF;FATA_prgHb;FATA_prgIc;FATA_prgK;FATA_prgL	48:39594..41984:-	none	38:28760..30589:-	38:28760..30589:-	none	none	none	none	34:23957..25642:-	none	none	none	none	none	294.7	MOBP1		no_slot_defined
NZ_CP124936.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	21:26053..28608:+	none	18:21013..23544:+	18:21013..23544:+	none	none	none	none	31:34381..36441:+	31:34381..36441:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP124937.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	60	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	23:21896..24460:+	none	26:27165..29423:+	26:27165..29423:+	none	27:30002..30727:+	none	none	none	none	none	none	none	none	92.2	MOBC		no_slot_defined
NZ_CP124940.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	21:26052..28607:+	none	18:21012..23543:+	18:21012..23543:+	none	none	none	none	31:34380..36440:+	31:34380..36440:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP124944.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	90	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	23:26053..28608:+	none	20:21013..23544:+	20:21013..23544:+	none	none	none	none	33:34381..36441:+	33:34381..36441:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP124945.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	3	1	2	FATA	medium	FA_orf14	FATA_prgB;FATA_prgC	6:6109..8646:-	none	12:12363..14960:-	12:12363..14960:-	none	none	none	none	none	none	none	none	none	none	145.0			no_slot_defined
NZ_CP124948.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	81	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	21:25761..28316:+	none	18:20721..23252:+	18:20721..23252:+	none	none	none	none	31:34089..36149:+	31:34089..36149:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP124951.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	21:26052..28607:+	none	18:21012..23543:+	18:21012..23543:+	none	none	none	none	31:34380..36440:+	31:34380..36440:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP124957.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	90	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	24:23165..25696:+	none	27:28405..30663:+	27:28405..30663:+	none	28:31243..31971:+	none	none	none	none	none	none	none	none	87.5	MOBC		no_slot_defined
NZ_CP124958.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	76	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	21:26052..28607:+	none	18:21012..23543:+	18:21012..23543:+	none	none	none	none	31:34380..36440:+	31:34380..36440:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP124961.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	2	1	1	unassigned	minimal	FA_orf14	FATA_prgB	21:26053..28608:+	none	18:21013..23544:+	18:21013..23544:+	none	none	none	none	31:34381..36441:+	31:34381..36441:+	none	none	none	none	147.6	MOBP1;MOBP2		no_slot_defined
NZ_CP125316.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	53	8	0	8	FATA	high		FATA_cd411;FATA_prgF;FATA_prgHa;FATA_prgHb;FATA_prgIa;FATA_prgIb;FATA_prgIc;FATA_trsG	18:11374..13830:+	none	14:8059..9960:+	14:8059..9960:+	none	none	none	none	26:20235..22442:+	none	none	none	none	none	330.9	MOBP1		no_slot_defined
NZ_CP125813.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	89	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	0:1..1641:+	none	85:58161..60521:+	85:58161..60521:+	none	none	none	none	6:5394..6626:+	6:5394..6626:+	none	none	none	none	221.8	MOBP1;MOBP2		no_slot_defined
NZ_CP125990.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	520	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	294:377947..380046:-	none	350:429550..432726:+	350:429550..432726:+	none	none	none	none	none	none	none	none	none	none	321.8			no_slot_defined
NZ_CP126464.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	189	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgF	92:89450..91549:+	none	56:52148..55477:-	56:52148..55477:-	none	none	none	none	none	none	none	none	none	none	325.1			no_slot_defined
NZ_CP126465.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	106	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	6:4733..6667:-	none	13:11888..13723:-	13:11888..13723:-	none	none	none	none	none	105:93808..94836:-	none	none	none	none	345.1	MOBP2		no_slot_defined
NZ_CP126475.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	441	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	78:83214..85313:+	none	35:37612..40959:-	35:37612..40959:-	none	none	none	none	none	none	none	none	none	none	325.3			no_slot_defined
NZ_CP126517.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	275	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	46:45143..47080:+	16:14037..15218:-	41:38555..41125:+	41:38555..41125:+	none	15:13484..14098:-	none	none	51:50249..51439:+	51:50249..51439:+	none	none	none	none	328.7	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP126519.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	73	3	2	1	FA	medium	FA_orf13;FA_orf17a	FATA_cd419a	71:66974..69532:+	41:41755..42918:+	none	66:61042..63834:+	none	67:63852..64694:+	none	none	none	none	none	none	none	none	98.7	MOBC		no_slot_defined
NZ_CP126522.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	272	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	60:60563..62500:+	30:29878..31059:-	55:53843..56398:+	55:53843..56398:+	none	29:29325..29939:-	none	none	66:65960..67153:+	66:65960..67153:+	none	none	none	none	323.0	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP126528.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	254	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_prgC	119:121517..123454:+	88:90586..91767:-	114:115004..117559:+	114:115004..117559:+	none	87:90033..90647:-	none	none	124:126624..127817:+	124:126624..127817:+	none	none	none	none	322.7	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP126529.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	291	8	6	2	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a;FATA_prgC	23:23592..26132:-	272:261770..262936:-	none	39:43591..46665:-	none	none	none	none	none	none	none	none	none	none	139.5			no_slot_defined
NZ_CP126541.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	46	3	2	1	FA	medium	FA_orf15;FA_orf17a	FATA_trsG	39:30874..33459:-	none	none	none	none	none	none	none	none	none	none	none	none	none	121.0			no_slot_defined
NZ_CP126628.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	79	2	1	1	unassigned	minimal	FA_orf15	FATA_trsG	15:15274..17505:+	none	15:15274..17505:+	none	none	none	none	none	none	none	none	none	none	none	102.8			no_slot_defined
NZ_CP126903.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	356	2	0	2	FATA	minimal		FATA_cd419a;FATA_prgB	113:95855..98443:+	none	104:89606..91018:+	104:89606..91018:+	none	none	143:143378..146218:-	none	none	none	none	none	none	none	74.8	MOBF		no_slot_defined
NZ_CP127023.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	36	8	1	7	FATA	high	FA_orf13	FATA_prgF;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsJ;FATA_trsL	19:19214..21226:-	none	13:12092..13738:-	13:12092..13738:-	none	none	none	none	none	none	none	31:28209..30206:+	none	none	318.2	MOBQ		no_slot_defined
NZ_CP127178.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	110	8	6	2	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419_1;FATA_cd419a	14:15471..17918:-	19:20644..22029:-	none	none	none	none	none	none	25:26418..28103:+	none	none	none	18:19261..20466:-	6:4257..5519:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
NZ_CP127179.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	66	6	3	3	unassigned	high	FA_orf13;FA_orf15;FA_orf17b	FATA_prgB;FATA_prgC;FATA_trsG	23:22247..24811:+	none	26:27516..29729:+	26:27516..29729:+	none	28:30587..31372:+	none	none	none	none	none	none	none	none	89.9	MOBC		no_slot_defined
NZ_CP127373.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	236	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	7:7122..9062:+	171:163945..165126:+	2:778..3501:+	2:778..3501:+	none	172:165065..165682:+	none	none	13:12577..13785:+	13:12577..13785:+	none	none	none	none	298.4	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP127374.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	90	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	27:25094..27652:-	56:49204..50367:-	none	33:31140..33953:-	none	32:30292..31134:-	none	none	none	none	none	none	none	none	106.1	MOBC		no_slot_defined
NZ_CP127875.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	110	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	23:20505..22439:-	49:46464..47597:-	30:29930..31696:-	28:26550..27458:-	none	93:99754..100266:-	none	none	17:15807..17015:-	17:15807..17015:-	none	none	none	none	306.9	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP127876.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	128	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	4:4156..6090:+	108:84851..85984:+	none	none	none	none	none	none	9:9214..10413:+	9:9214..10413:+	none	none	none	none	297.9	MOBP1;MOBP2		no_slot_defined
NZ_CP128115.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	110	7	1	6	FATA	high	FA_orf14	FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsJ;FATA_trsL	81:50670..52556:-	none	68:35910..38423:-	68:35910..38423:-	none	none	none	none	none	none	none	107:68029..70278:+	none	none	237.4	MOBQ		no_slot_defined
NZ_CP128131.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	92	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	42:31068..33626:+	14:7892..9055:+	none	37:25217..27940:+	none	38:27946..28788:+	none	none	none	none	none	none	none	none	94.2	MOBC		no_slot_defined
NZ_CP128136.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	291	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	59:59429..61366:+	21:19526..20707:-	54:52780..55350:+	54:52780..55350:+	none	20:18970..19587:-	none	none	65:64824..66017:+	65:64824..66017:+	none	none	none	none	328.3	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP128138.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	94	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	5:6732..8666:+	71:69867..71057:-	0:351..3071:+	0:351..3071:+	none	70:69311..69928:-	none	none	11:11848..13056:+	11:11848..13056:+	none	none	none	none	308.4	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP128142.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	334	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	16:14039..15976:-	54:54900..56081:+	21:20124..22694:-	21:20124..22694:-	none	55:56020..56634:+	none	none	11:9673..10863:-	11:9673..10863:-	none	none	none	none	333.1	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP128161.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	111	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	35:31619..33559:+	107:100061..101251:-	29:24846..27599:+	29:24846..27599:+	none	106:99505..100122:-	none	none	40:36784..37992:+	40:36784..37992:+	none	none	none	none	289.1	MOBC;MOBP1;MOBP2		no_slot_defined
NZ_CP128463.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	62	7	1	6	FATA	high	FA_orf14	FATA_prgC;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsL	4:3994..5955:-	none	none	61:49077..50174:-	none	none	none	none	8:7370..9334:-	none	none	8:7370..9334:-	none	none	261.7	MOBP1;MOBQ		no_slot_defined
NZ_CP128469.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	2	0	2	FATA	minimal		FATA_trsC;FATA_trsG	73:61632..63614:+	none	67:53144..56029:+	67:53144..56029:+	none	none	none	none	none	2:1077..2546:+	none	none	none	none	267.8	MOBP2		no_slot_defined
NZ_CP128554.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	89	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	10:10902..12836:-	36:37623..38756:-	16:17210..19801:-	16:17210..19801:-	none	none	none	none	5:6493..7713:-	5:6493..7713:-	none	none	none	none	297.7	MOBP1;MOBP2		no_slot_defined
NZ_CP129006.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	558	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	259:263094..265193:-	none	317:320393..323797:+	317:320393..323797:+	none	none	none	none	none	none	none	none	none	none	325.5			no_slot_defined
NZ_CP129296.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	38	4	0	4	FATA	medium		FATA_trsC;FATA_trsD;FATA_trsJ;FATA_trsL	0:86..985:+	none	6:4995..6587:+	6:4995..6587:+	none	none	none	none	none	none	none	32:28997..31039:+	none	none	140.1	MOBQ		no_slot_defined
NZ_CP129608.2	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	49	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsC	15:10633..13473:-	none	37:27179..29134:-	37:27179..29134:-	none	none	none	none	33:23742..25361:+	none	none	none	none	none	476.2	MOBP1		no_slot_defined
NZ_CP129634.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	165	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	101:83688..85622:-	none	106:89682..92303:-	106:89682..92303:-	none	none	none	none	95:79089..80285:-	95:79089..80285:-	none	none	none	none	292.0	MOBP1;MOBP2		no_slot_defined
NZ_CP130278.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	4	0	4	FATA	medium		FATA_gbs1347;FATA_prgF;FATA_prgHb;FATA_trsJ	57:59860..62214:-	none	61:63673..65427:-	61:63673..65427:-	none	none	none	none	46:49879..51390:-	none	none	none	none	27:27126..28337:+	311.8	MOBP1;MOBV		no_slot_defined
NZ_CP130285.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	112	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	14:10195..12783:+	88:79206..80372:+	none	8:4215..7271:+	none	9:7292..8125:+	none	none	none	none	none	none	none	none	95.3	MOBC		no_slot_defined
NZ_CP130286.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	65	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	41:29135..31693:-	2:888..2051:-	none	46:34821..37568:-	none	45:33973..34815:-	none	none	none	none	none	none	none	none	99.8	MOBC		no_slot_defined
NZ_CP130336.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	301	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	211:213113..215221:+	none	177:180458..181762:-	173:173022..174704:-	none	none	none	none	none	none	none	none	none	none	326.0			no_slot_defined
NZ_CP130337.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	3	3	0	FA	medium	FA_orf13;FA_orf15;FA_orf17a		3:4954..7542:-	51:51436..52602:-	none	9:10467..13640:-	none	8:9613..10446:-	none	none	38:35620..36558:+	none	none	none	none	none	93.2	MOBC;MOBP1		no_slot_defined
NZ_CP130338.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	107	3	0	3	FATA	medium		FATA_cd419a;FATA_trsD;FATA_trsG	77:57285..59159:+	none	62:42724..44985:-	62:42724..44985:-	none	none	none	none	none	none	none	63:44996..47092:-	none	none	261.7	MOBQ		no_slot_defined
NZ_CP132039.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	33	3	2	1	FA	medium	FA_orf15;FA_orf17a	FATA_trsG	5:5086..7671:+	none	none	none	none	none	none	none	none	none	none	none	none	none	121.1			no_slot_defined
NZ_CP132068.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	165	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	53:55869..57971:-	none	107:113812..114957:+	109:117520..119865:+	none	none	none	none	none	none	none	none	none	none	326.0			no_slot_defined
NZ_CP132069.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	107	4	3	1	FA	medium	FA_orf13;FA_orf15;FA_orf17a	FATA_cd419a	63:70042..72612:+	29:37334..38506:+	none	none	none	56:66236..67075:+	none	none	none	none	none	none	none	none	91.1	MOBC		no_slot_defined
NZ_CP132070.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	84	5	4	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a	FATA_cd419a	12:10627..13185:+	68:72611..73774:+	none	5:4312..7116:+	none	6:7122..7964:+	none	none	none	none	none	none	none	none	93.6	MOBC		no_slot_defined
NZ_CP132369.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	39	7	0	7	FATA	high		FATA_prgF;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsJ;FATA_trsL	12:11525..13537:-	none	6:4409..6049:-	6:4409..6049:-	none	none	none	none	none	none	none	27:23438..25435:+	none	none	317.4	MOBQ		no_slot_defined
NZ_CP133365.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	78	5	0	5	FATA	high		FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsL	21:19907..21805:+	none	16:15695..17611:+	16:15695..17611:+	none	none	none	none	15:13125..15668:+	none	15:13125..15668:+	none	none	none	288.0	MOBP1;MOBP3		no_slot_defined
NZ_CP133366.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	103	3	0	3	FATA	medium		FATA_cd419a;FATA_trsD;FATA_trsG	38:36885..38768:+	none	23:22308..24569:-	23:22308..24569:-	none	none	none	none	none	none	none	24:24580..26676:-	none	none	268.9	MOBQ		no_slot_defined
NZ_CP133372.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	105	3	0	3	FATA	medium		FATA_cd419a;FATA_trsD;FATA_trsG	25:14278..16161:-	none	40:28477..30738:+	40:28477..30738:+	none	none	none	none	none	none	none	39:26370..28466:+	none	none	268.9	MOBQ		no_slot_defined
NZ_CP133373.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	78	5	0	5	FATA	high		FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsL	21:19907..21805:+	none	16:15695..17611:+	16:15695..17611:+	none	none	none	none	15:13125..15668:+	none	15:13125..15668:+	none	none	none	288.0	MOBP1;MOBP3		no_slot_defined
NZ_CP133378.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	105	3	0	3	FATA	medium		FATA_cd419a;FATA_trsD;FATA_trsG	25:14309..16192:-	none	40:28508..30769:+	40:28508..30769:+	none	none	none	none	none	none	none	39:26401..28497:+	none	none	268.9	MOBQ		no_slot_defined
NZ_CP133379.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	77	5	0	5	FATA	high		FATA_cd419a;FATA_trsC;FATA_trsD;FATA_trsG;FATA_trsL	48:39081..40979:-	none	53:43275..45191:-	53:43275..45191:-	none	none	none	none	54:45218..47761:-	none	54:45218..47761:-	none	none	none	288.0	MOBP1;MOBP3		no_slot_defined
NZ_CP133451.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	110	8	6	2	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf19;FA_orf23	FATA_cd419_1;FATA_cd419a	14:15471..17918:-	19:20644..22029:-	none	none	none	none	none	none	25:26418..28103:+	none	none	none	18:19261..20466:-	6:4257..5519:-	93.8	MOBP1;MOBT;MOBV		no_slot_defined
NZ_CP133558.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	468	2	1	1	unassigned	minimal	FA_orf14	FATA_cd419a	355:444333..446432:-	147:194882..196048:+	406:494060..497581:+	406:494060..497581:+	none	none	none	none	none	none	none	none	none	none	325.1			no_slot_defined
NZ_CP133589.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	47	4	0	4	FATA	medium		FATA_cd419a;FATA_trsD;FATA_trsG;FATA_trsL	19:16286..18139:-	31:24334..25491:+	40:32105..34240:+	40:32105..34240:+	none	none	none	none	none	none	none	39:30155..32086:+	none	none	293.0	MOBQ		no_slot_defined
NZ_CP133661.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	45	7	0	7	FATA	high		FATA_prgF;FATA_trsC;FATA_trsD;FATA_trsF;FATA_trsG;FATA_trsJ;FATA_trsL	40:38678..40690:-	none	34:31562..33202:-	34:31562..33202:-	none	none	none	none	none	none	none	10:7529..9526:+	none	none	317.0	MOBQ		no_slot_defined
NZ_CP133766.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	44	5	4	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17b	FATA_cd419a	16:13059..15497:+	16:13059..15497:+	12:9286..11427:+	12:9286..11427:+	none	11:8556..9341:+	none	none	none	none	none	none	none	none	157.4	MOBC		no_slot_defined
NZ_CP133769.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	360	3	1	2	FATA	medium	FA_orf14	FATA_cd419a;FATA_trsC	187:219428..221497:-	341:367460..371266:+	221:250449..253511:-	221:250449..253511:-	none	264:291045..292121:-	none	none	none	none	none	none	none	none	292.4	MOBC		no_slot_defined
NZ_CP134052.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	101	2	0	2	FATA	minimal		FATA_cd419a;FATA_trsL	50:34917..37349:-	none	98:75688..77820:-	98:75688..77820:-	none	none	none	none	99:77823..78443:-	none	none	none	none	99:77823..78443:-	255.6	MOBP1;MOBV		no_slot_defined
NZ_CP134205.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	419	2	1	1	unassigned	minimal	FA_orf17a	FATA_cd419a	23:21496..24099:+	none	none	28:29492..31963:+	none	29:31960..32973:+	none	none	none	none	none	none	none	none	78.6	MOBC		no_slot_defined
NZ_CP134264.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	75	2	1	1	unassigned	minimal	FA_orf17a	FATA_cd419a	28:32903..35425:-	35:39258..40874:-	none	none	none	60:58275..58496:-	none	none	none	none	none	none	none	none	85.8	MOBC		no_slot_defined
NZ_CP134266.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	59	2	1	1	unassigned	minimal	FA_orf17a	FATA_cd419a	40:28685..31207:+	35:25041..26630:+	none	none	none	14:9728..10300:+	none	none	none	none	none	none	none	none	85.7	MOBC		no_slot_defined
NZ_CP134606.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	321	2	1	1	unassigned	minimal	FA_orf17a	FATA_cd419a	299:301089..303695:-	29:29637..31682:-	293:293229..295679:-	none	none	292:292213..293229:-	none	none	none	none	none	none	none	none	78.7	MOBC		no_slot_defined
NZ_CP134840.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	54	2	0	2	FATA	minimal		FATA_gbs1350;FATA_trsG	40:30368..32326:+	none	34:23206..25770:+	34:23206..25770:+	none	none	none	none	0:1122..2471:-	0:1122..2471:-	none	none	none	none	270.2	MOBP1;MOBP2		no_slot_defined
NZ_CP135061.1	MPF_FA	T4SS_virb4 AND NOT(T/F/I) AND >=2 FA/FATA	348	7	6	1	FA	high	FA_orf13;FA_orf14;FA_orf15;FA_orf17a;FA_orf17b;FA_orf19	FATA_cd419a	10:12539..15079:+	45:41966..43132:+	344:356897..359974:+	344:356897..359974:+	none	none	none	none	none	none	none	none	none	none	139.5			no_slot_defined
